id;name;japaneseTitle;romaji;coverUrl;platforms;genre;japanExclusive;releaseDate;developer;publisher;difficulty;textComplexity;description;reason
259;Super Bases Loaded 2;スーパー3Dベースボール;Sūpā 3D Bēsubōru;placeholder_url;Super Nintendo;Sports;False;01-10-1993;Tose;Jaleco;playable;simple;Baseball game;Sports gameplay with minimal text needed.
260;Trinea;トリネア;Torinea;placeholder_url;Super Nintendo;RPG;True;01-10-1993;Japan Art Media;Yanoman;not-recommended;complex;Fantasy RPG;Story-heavy game requiring Japanese knowledge.
261;Romance of the Three Kingdoms III;三國志III;Sangokushi III;placeholder_url;Super Nintendo;Strategy;False;08-11-1992;Koei;Koei;caution;complex;Historical strategy;Complex mechanics but English release available.
262;Space Football: One on One;スーパーリニアボール;Sūpā Riniabōru;placeholder_url;Super Nintendo;Sports;False;06-11-1992;Bits Studios;Triffix;playable;simple;Futuristic sports;Simple gameplay mechanics with minimal text.
263;Boxing Legends of the Ring;ファイナルノックアウト;Fainaru Nokkuauto;placeholder_url;Super Nintendo;Sports;False;05-11-1993;Sculptured Software;Pack-In-Video;playable;simple;Boxing game;Sports gameplay with minimal text needed.
264;Secret of the Stars;アクタリオン;Akutarion;placeholder_url;Super Nintendo;RPG;False;05-11-1993;Tecmo;Tecmo;playable;complex;RPG adventure;English release available with standard RPG complexity.
265;Soul & Sword;ソウル アンド ソード;Sōru ando Sōdo;placeholder_url;Super Nintendo;Action;True;30-11-1993;Pandora Box;Zamuse;playable;simple;Action game;Combat-focused gameplay with minimal text needed.
266;Metal Slader Glory: Director's Cut;メタルスレイダーグローリー;Metaru Sureidā Gurōrī;placeholder_url;Super Nintendo;Adventure;True;29-11-2000;HAL Laboratory;Nintendo;not-recommended;complex;Visual novel;Story-heavy game requiring Japanese knowledge.
267;Nichibutsu Collection 1;日本物産コレクション1;Nichibutsu Korekushon 1;placeholder_url;Super Nintendo;Compilation;True;29-11-1996;Nichibutsu;Nichibutsu;not-recommended;complex;Game collection;Multiple games requiring Japanese knowledge.
268;Parlor! Mini 4;パーラー!ミニ4;Pārā! Mini 4;placeholder_url;Super Nintendo;Simulation;True;29-11-1996;Unknown;Nippon Telenet;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
269;Super Jinsei Game 3;スーパー人生ゲーム3;Sūpā Jinsei Gēmu 3;placeholder_url;Super Nintendo;Board Game;True;29-11-1996;Takara;Takara;not-recommended;complex;Life simulation;Complex board game requiring Japanese knowledge.
270;VS. Collection;VSコレクション;VS Korekushon;placeholder_url;Super Nintendo;Fighting;True;29-11-1996;Bottom Up;Bottom Up;playable;simple;Fighting compilation;Combat-focused gameplay with minimal text needed.
271;Raiden Trad;雷電伝説;Raiden Densetsu;placeholder_url;Super Nintendo;Shoot 'em up;False;29-11-1991;Seibu Kaihatsu;Toei Animation;playable;simple;Vertical shooter;Action-focused gameplay with minimal text needed.
272;Illusion of Gaia;ガイア幻想記;Gaia Gensōki;placeholder_url;Super Nintendo;RPG;False;27-11-1993;Quintet;Enix;playable;complex;Action RPG;English release available with standard RPG complexity.
273;Another World;アウターワールド;Autā Wārudo;placeholder_url;Super Nintendo;Adventure;False;27-11-1992;Delphine Software;Victor Interactive;playable;simple;Cinematic platformer;Visual-based gameplay with minimal text needed.
274;Ashita no Joe;あしたのジョー;Ashita no Jō;placeholder_url;Super Nintendo;Fighting;True;27-11-1992;Wave Corp;K Amusement;playable;simple;Boxing game;Combat-focused gameplay with minimal text needed.
275;Barbarossa;バルバロッサ;Barubarossa;placeholder_url;Super Nintendo;Strategy;True;27-11-1992;SystemSoft Alpha;Sammy;not-recommended;complex;War strategy;Complex mechanics requiring Japanese knowledge.
276;Dig & Spike Volleyball;バレーボールツイン;Barēbōru Tsuin;placeholder_url;Super Nintendo;Sports;False;27-11-1992;Tose;Tonkin House;playable;simple;Volleyball game;Sports gameplay with minimal text needed.
277;Fatal Fury;餓狼伝説;Garō Densetsu;placeholder_url;Super Nintendo;Fighting;False;27-11-1992;Nova Co., Ltd;Takara;playable;simple;Fighting game;Combat-focused gameplay with minimal text needed.
278;King Arthur's World;ロイヤルコンクエスト;Roiyaru Konkuesuto;placeholder_url;Super Nintendo;Strategy;False;27-11-1992;Argonaut Software;Jaleco;caution;complex;Strategy action;Some strategic elements but English release available.
279;Power Moves;パワーアスリート;Pawā Asurīto;placeholder_url;Super Nintendo;Fighting;False;27-11-1992;Kaneko;Kaneko;playable;simple;Fighting game;Combat-focused gameplay with minimal text needed.
280;Song Master;ソングマスター;Songu Masutā;placeholder_url;Super Nintendo;Music;True;27-11-1992;Japan Art Media;Yanoman;not-recommended;complex;Music game;Interface and instructions require Japanese knowledge.
281;Donkey Kong Country;スーパードンキーコング;Sūpā Donkī Kongu;placeholder_url;Super Nintendo;Platform;False;26-11-1994;Rare;Nintendo;playable;simple;Platform adventure;Action-focused gameplay with minimal text needed.
282;ABC Monday Night Football;ABCマンデーナイトフットボール;ABC Mandē Naito Futtobōru;placeholder_url;Super Nintendo;Sports;False;26-11-1993;Data East;Data East;playable;simple;Football game;Sports gameplay with minimal text needed.
283;Accele Brid;アクセルブリッド;Akuseru Buriddo;placeholder_url;Super Nintendo;Racing;True;26-11-1993;Tomy;Tomy;playable;simple;Racing game;Racing gameplay with minimal text requirements.
284;Aladdin;アラジン;Arajin;placeholder_url;Super Nintendo;Platform;False;26-11-1993;Capcom;Capcom;playable;simple;Platform adventure;Action-focused gameplay with minimal text needed.
285;Ardy Lightfoot;アーディーライトフット;Ādi Raitofutto;placeholder_url;Super Nintendo;Platform;False;26-11-1993;ASCII Entertainment;ASCII Entertainment;playable;simple;Platform game;Action-focused gameplay with minimal text needed.
286;Dynamic Stadium;ダイナミックスタジアム;Dainamikku Sutajiamu;placeholder_url;Super Nintendo;Sports;True;26-11-1993;Electronics Application;Sammy;caution;simple;Sports simulation;Menu navigation in Japanese but gameplay is visual.
287;Fatal Fury 2;餓狼伝説2;Garō Densetsu 2;placeholder_url;Super Nintendo;Fighting;False;26-11-1993;Nova Co., Ltd;Takara;playable;simple;Fighting game;Combat-focused gameplay with minimal text needed.
288;Jissen Pachi-Slot Hisshouhou;実戦パチスロ必勝法;Jissen Pachi-Surotto Hisshōhō;placeholder_url;Super Nintendo;Simulation;True;26-11-1993;Unknown;Sammy;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
289;Onizuka Katsuya Super Virtual Boxing;鬼塚勝也スーパーバーチャルボクシング;Onizuka Katsuya Sūpā Bācharu Bokushingu;placeholder_url;Super Nintendo;Sports;True;26-11-1993;Sting Entertainment;SOFEL;playable;simple;Boxing game;Sports gameplay with minimal text needed.
290;Super Chase H.Q.;スーパーチェイスH.Q.;Sūpā Cheisu H.Q.;placeholder_url;Super Nintendo;Racing;False;26-11-1993;Taito;Taito;playable;simple;Police chase racing;Action-focused gameplay with minimal text needed.
291;Super Goal! 2;武田修宏のスーパーカップサッカー;Takeda Nobuhiro no Sūpā Kappu Sakkā;placeholder_url;Super Nintendo;Sports;True;26-11-1993;Tose;Jaleco;playable;simple;Soccer game;Sports gameplay with minimal text needed.
292;Super Strike Eagle;F-15スーパーストライクイーグル;F-15 Sūpā Sutoraiku Īguru;placeholder_url;Super Nintendo;Action;False;26-11-1993;MicroProse;MicroProse;playable;simple;Flight combat;Action-focused gameplay with minimal text needed.
293;Tecmo Super Bowl;テクモスーパーボウル;Tekumo Sūpā Bōru;placeholder_url;Super Nintendo;Sports;False;26-11-1993;Tecmo;Tecmo;playable;simple;Football game;Sports gameplay with minimal text needed.
294;Yadamon: Wonderland Dream;やだモン ワンダーランドドリーム;Yadamon Wandārando Dorīmu;placeholder_url;Super Nintendo;Action;True;26-11-1993;Sting Entertainment;Tokuma Shoten;caution;simple;Action adventure;Some story elements in Japanese but playable gameplay.
295;Mighty Morphin Power Rangers;パワーレンジャー;Pawā Renjā;placeholder_url;Super Nintendo;Action;False;25-11-1995;Natsume Co., Ltd.;Bandai;playable;simple;Action fighting;Combat-focused gameplay with minimal text needed.
296;Zero4 Champ RR-Z;零四チャンプRR-Z;Zero Yon Chanpu RR-Z;placeholder_url;Super Nintendo;Racing;True;25-11-1995;Media Rings;Media Rings;caution;simple;Racing game;Menu navigation in Japanese but racing is visual.
297;Battle Soccer 2;バトルサッカー2;Batoru Sakkā 2;placeholder_url;Super Nintendo;Sports;True;25-11-1994;Pandora Box;Banpresto;playable;simple;Soccer game;Sports gameplay with minimal text needed.
298;Daibakushou Jinsei Gekijou: Ooedo Nikki;大爆笑人生劇場 大江戸日記;Daibakushō Jinsei Gekijō: Ōedo Nikki;placeholder_url;Super Nintendo;Board Game;True;25-11-1994;Taito;Taito;not-recommended;complex;Life simulation;Complex board game requiring Japanese knowledge.
299;Ganso Pachi-Slot Nippon'ichi;元祖パチスロ日本一;Ganso Pachi-Surotto Nippon'ichi;placeholder_url;Super Nintendo;Simulation;True;25-11-1994;Unknown;Coconuts Japan;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
300;Gekitou Pro Wrestling;激闘プロレスリング;Gekitō Puroresuringu;placeholder_url;Super Nintendo;Sports;True;25-11-1994;Yutaka;Yutaka;playable;simple;Wrestling game;Action-focused gameplay with minimal text needed.
301;Hakunetsu Pro Yakyuu '94;熱血プロ野球'94;Hakunetsu Puro Yakyū '94;placeholder_url;Super Nintendo;Sports;True;25-11-1994;Irem;Irem;caution;simple;Baseball game;Menu navigation in Japanese but gameplay is visual.
302;Dream Basketball: Dunk & Hoop;ドリームバスケットボール ダンク&フープ;Dorīmu Basukettobōru Danku & Hūpu;placeholder_url;Super Nintendo;Sports;True;18-11-1994;Human Entertainment;Human Entertainment;playable;simple;Basketball game;Sports gameplay with minimal text needed.
303;GP-1: Part II;GP-1 ラピッドストリーム;GP-1 Rapiddo Sutorīmu;placeholder_url;Super Nintendo;Racing;False;18-11-1994;Atlus;Atlus;playable;simple;Racing game;Racing gameplay with minimal text requirements.
304;Hagane: The Final Conflict;鋼;Hagane;placeholder_url;Super Nintendo;Action;False;18-11-1994;CAProduction;Hudson Soft;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
305;Hana no Keiji;花の慶次;Hana no Keiji;placeholder_url;Super Nintendo;Action;True;18-11-1994;Tose;Yojigen;caution;simple;Historical action;Some story elements in Japanese but playable gameplay.
306;Magna Braban;マグナブラバン;Maguna Buraban;placeholder_url;Super Nintendo;RPG;True;18-11-1994;Lenar;ASK;not-recommended;complex;RPG adventure;Story and menu-heavy requiring Japanese knowledge.
307;Metal Marines;ミリティア;Miritia;placeholder_url;Super Nintendo;Strategy;False;18-11-1994;Namco;Namco;caution;complex;Strategy game;Complex mechanics but English release available.
308;Ranma 1/2: Bakuretsu Rantou Hen;らんま1/2 爆裂乱闘編;Ranma 1/2: Bakuretsu Rantō Hen;placeholder_url;Super Nintendo;Fighting;True;18-11-1994;Rumic Soft;Shogakukan;playable;simple;Fighting game;Combat-focused gameplay with minimal text needed.
309;Super Bomberman 2;スーパーボンバーマン2;Sūpā Bonbāman 2;placeholder_url;Super Nintendo;Action;False;18-11-1994;Hudson Soft;Hudson Soft;playable;simple;Action puzzle;Visual-based gameplay with minimal text needed.
310;Super Robot Wars 3;スーパーロボット大戦3;Sūpā Robotto Taisen 3;placeholder_url;Super Nintendo;Strategy;True;18-11-1993;Winkysoft;Banpresto;not-recommended;complex;Strategy RPG;Complex systems requiring Japanese knowledge.
311;Tsuri Tarou;釣太郎;Tsuri Tarō;placeholder_url;Super Nintendo;Sports;True;18-11-1994;Pack-In-Video;Pack-In-Video;caution;simple;Fishing game;Menu navigation in Japanese but gameplay is visual.
312;Wagyan Paradise;ワギャンパラダイス;Wagyan Paradaisu;placeholder_url;Super Nintendo;Board Game;True;18-11-1994;Namco;Namco;not-recommended;complex;Board game;Complex mechanics requiring Japanese knowledge.
313;Yokoyama Mitsuteru: Sangokushi;横山光輝 三国志;Yokoyama Mitsuteru: Sangokushi;placeholder_url;Super Nintendo;Strategy;True;18-11-1994;Banpresto;Banpresto;not-recommended;complex;Historical strategy;Complex gameplay requiring Japanese knowledge.
314;Zen-Nippon Pro Wrestling 2: 3-4 Budoukan;全日本プロレスリング2 3・4武道館;Zen-Nippon Puroresuringu 2: 3-4 Budōkan;placeholder_url;Super Nintendo;Sports;True;18-11-1994;Natsume Co., Ltd.;Natsume Co., Ltd.;playable;simple;Wrestling game;Action-focused gameplay with minimal text needed.
315;Zig Zag Cat: Ostrich Club mo Oosawagi;ジグザグキャット オストリッチ倶楽部も大騒ぎ;Jiguzagu Kyatto: Osutoritchi Kurabu mo Ōsawagi;placeholder_url;Super Nintendo;Action;True;18-11-1994;Sigma;Sigma;playable;simple;Action game;Visual-based gameplay with minimal text needed.
316;Super Fire Pro Wrestling X;スーパーファイヤープロレスリングX;Sūpā Faiyā Puroresuringu X;placeholder_url;Super Nintendo;Sports;True;15-11-1995;Human Entertainment;Human Entertainment;playable;simple;Wrestling game;Action-focused gameplay with minimal text needed.
317;Bishoujo Senshi Sailor Moon: Another Story;美少女戦士セーラームーン アナザーストーリー;Bishōjo Senshi Sērā Mūn: Anazā Sutōrī;placeholder_url;Super Nintendo;RPG;True;15-11-1995;Angel;Bandai;not-recommended;complex;Sailor Moon RPG;Story-heavy game requiring Japanese knowledge.
318;Dragon Ball Z: Super Gokuu Den - Kakusei Hen;ドラゴンボールZ 超悟空伝 覚醒編;Doragon Bōru Zetto Chō Gokū Den Kakusei Hen;placeholder_url;Super Nintendo;RPG;True;15-11-1995;TOSE;Bandai;not-recommended;complex;Dragon Ball RPG;Story and menu-heavy requiring Japanese knowledge.
319;Fire Emblem: Thracia 776;ファイアーエムブレム トラキア776;Faiā Emuburemu: Torakia 776;placeholder_url;Super Nintendo;Strategy;True;15-11-1999;Intelligent Systems;Nintendo;not-recommended;complex;Strategy RPG;Complex gameplay systems requiring Japanese knowledge.
320;Kirby's Dream Land 3;星のカービィ3;Hoshi no Kābī 3;placeholder_url;Super Nintendo;Platform;False;15-11-1997;HAL Laboratory;Nintendo;playable;simple;Platform adventure;Action-focused gameplay with minimal text needed.
321;Mahjong Hanjouki;麻雀繁盛記;Mājan Hanjōki;placeholder_url;Super Nintendo;Board Game;True;15-11-1995;Face;Face;not-recommended;complex;Mahjong game;Complex mahjong rules requiring Japanese knowledge.
322;Power Rangers Zeo: Battle Racers;パワーレンジャーZEO バトルレーサーズ;Pawā Renjā ZEO Batoru Rēsāzu;placeholder_url;Super Nintendo;Racing;False;15-11-1996;Natsume Co., Ltd.;Bandai;playable;simple;Racing game;Racing gameplay with minimal text requirements.
323;SD Gundam Generation;SDガンダムジェネレーション;SD Gandamu Jenerēshon;placeholder_url;Super Nintendo;Strategy;True;15-11-1996;Tom Create;Bandai;not-recommended;complex;Gundam strategy;Complex systems requiring Japanese knowledge.
324;Super Robot Wars Gaiden: Masō Kishin - The Lord of Elemental;スーパーロボット大戦外伝 魔装機神 THE LORD OF ELEMENTAL;Sūpā Robotto Taisen Gaiden: Masō Kishin - The Lord of Elemental;placeholder_url;Super Nintendo;Strategy;True;15-11-1996;Winkysoft;Banpresto;not-recommended;complex;Strategy RPG;Complex gameplay requiring Japanese knowledge.
325;Tetris & Dr. Mario;テトリス&ドクターマリオ;Tetorisu & Dokutā Mario;placeholder_url;Super Nintendo;Puzzle;False;14-11-1994;Nintendo;Nintendo;playable;simple;Puzzle compilation;Visual-based puzzle mechanics with minimal text.
326;Aretha II;アレサ2;Aresa 2;placeholder_url;Super Nintendo;RPG;True;11-11-1994;Yanoman;Yanoman;not-recommended;complex;RPG adventure;Story-heavy game requiring Japanese knowledge.
327;Dragon Ball Z: Super Butouden 2;ドラゴンボールZ 超武闘伝2;Doragon Bōru Zetto Sūpā Butōden 2;placeholder_url;Super Nintendo;Fighting;True;11-11-1993;TOSE;Bandai;playable;simple;Fighting game;Combat-focused with minimal text needed.
328;F1 ROC II: Race of Champions;F1ロック2 レース オブ チャンピオンズ;F1 Rokku 2: Rēsu obu Chanpionzu;placeholder_url;Super Nintendo;Racing;False;11-11-1993;Seta;Seta;playable;simple;Racing game;Racing gameplay with minimal text requirements.
329;Jikkyou Powerful Pro Yakyuu '95;実況パワフルプロ野球'95;Jikkyō Pawafuru Puro Yakyū '95;placeholder_url;Super Nintendo;Sports;True;11-11-1995;Konami;Konami;caution;simple;Baseball game;Menu navigation in Japanese but gameplay is visual.
330;Kunio-kun no Dodge Ball dayo Zenin Shuugou! 2;くにおくんのドッジボールだよ全員集合!2;Kunio-kun no Dojjibōru dayo Zenin Shūgō! 2;placeholder_url;Super Nintendo;Sports;True;11-11-1994;Technos Japan;Technos Japan;playable;simple;Dodgeball game;Sports gameplay with minimal text needed.
331;Mega Man X2;ロックマンX2;Rokkuman X2;placeholder_url;Super Nintendo;Action;False;11-11-1994;Capcom;Capcom;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
332;Shin Megami Tensei II;真・女神転生II;Shin Megami Tensei II;placeholder_url;Super Nintendo;RPG;True;11-11-1994;Atlus;Atlus;not-recommended;complex;RPG adventure;Complex systems requiring Japanese knowledge.
333;Super Adventure Island II;高橋名人の大冒険島II;Takahashi Meijin no Daibōken Jima II;placeholder_url;Super Nintendo;Platform;False;11-11-1994;Hudson Soft;Hudson Soft;playable;simple;Platform adventure;Action-focused gameplay with minimal text needed.
334;Rendering Ranger: R2;レンダリングレンジャーR2;Renderingu Renjā R2;placeholder_url;Super Nintendo;Action;False;17-11-1995;Rainbow Arts;Virgin Interactive Entertainment;playable;simple;Action shooter;Fast-paced action with minimal text needed.
335;Shanghai: Banri no Choujou;上海 万里の長城;Shanghai: Banri no Chōjō;placeholder_url;Super Nintendo;Puzzle;True;17-11-1995;Kuusoukagaku;Sunsoft;playable;simple;Mahjong solitaire;Visual puzzle game with minimal text needed.
336;Zenkoku Koukou Soccer 2;全国高校サッカー2;Zenkoku Kōkō Sakkā 2;placeholder_url;Super Nintendo;Sports;True;17-11-1995;Nihon Syscom;Yojigen;playable;simple;Soccer game;Sports gameplay with minimal text needed.
337;Star Trek: The Next Generation;スター・トレック;Sutā Torekku;placeholder_url;Super Nintendo;Action;False;17-11-1994;Spectrum HoloByte;Spectrum HoloByte;playable;simple;Action adventure;English release available with minimal text needed.
338;Paladin's Quest;レンナス 古代機械の記憶;Rennasu: Kodai Kikai no Kioku;placeholder_url;Super Nintendo;RPG;False;13-11-1992;Asmik Ace Entertainment;Enix;caution;complex;RPG adventure;English release available but complex systems.
339;Super SWIV;スーパーSWIV;Sūpā SWIV;placeholder_url;Super Nintendo;Shoot 'em up;False;13-11-1992;Sales Curve Interactive;Sunsoft;playable;simple;Shooting game;Action-focused gameplay with minimal text needed.
340;Equinox;ソルスティスII;Sorusutisu II;placeholder_url;Super Nintendo;Puzzle;False;12-11-1993;Software Creations;Sony Imagesoft;playable;simple;Puzzle platformer;Visual-based gameplay with minimal text needed.
341;Final Stretch;ファイナルストレッチ;Fainaru Sutoretchi;placeholder_url;Super Nintendo;Sports;True;12-11-1993;Genki;LOZC G. Amusements;playable;simple;Horse racing;Sports gameplay with minimal text needed.
342;Super Uno;スーパーウノ;Sūpā Uno;placeholder_url;Super Nintendo;Board Game;True;12-11-1993;Unknown;Tomy;playable;simple;Card game;Visual-based card game with simple rules.
343;Waka Taka Ōzumō;若貴大相撲;Waka Taka Ōzumō;placeholder_url;Super Nintendo;Sports;True;12-11-1993;Tomcat System;Imagineer;playable;simple;Sumo wrestling;Sports gameplay with minimal text needed.
344;Romancing SaGa 3;ロマンシング サガ3;Romanshingu Saga 3;placeholder_url;Super Nintendo;RPG;True;11-11-1995;Square;Square;not-recommended;complex;RPG adventure;Complex story and systems requiring Japanese knowledge.
345;Gon;ゴン;Gon;placeholder_url;Super Nintendo;Action;True;11-11-1994;Tose;Bandai;playable;simple;Platform action;Visual-based gameplay with minimal text needed.
346;The Great Circus Mystery;ミッキー&ミニー マジカルアドベンチャー2;Mikkī to Minī Majikaru Adobenchā 2;placeholder_url;Super Nintendo;Platform;False;11-11-1994;Capcom;Capcom;playable;simple;Platform adventure;Action-focused gameplay with minimal text needed.
347;International Superstar Soccer;実況ワールドサッカー;Jikkyō Wārudo Sakkā;placeholder_url;Super Nintendo;Sports;False;11-11-1994;Konami;Konami;playable;simple;Soccer game;Sports gameplay with minimal text needed.
348;Mortal Kombat II;モータルコンバットII;Mōtaru Konbatto II;placeholder_url;Super Nintendo;Fighting;False;11-11-1994;Sculptured Software;Acclaim Entertainment;playable;simple;Fighting game;Combat-focused with minimal text needed.
349;GunForce;ガンフォース;Ganfōsu;placeholder_url;Super Nintendo;Action;False;11-11-1992;Bits Studios;Irem;playable;simple;Run and gun;Action-focused gameplay with minimal text needed.
350;Zenkoku Juudan: Ultra Shinri Game;全国縦断 ウルトラ心理ゲーム;Zenkoku Jūdan: Urutora Shinri Gēmu;placeholder_url;Super Nintendo;Board Game;True;10-11-1995;Ukiyotei;Visit;not-recommended;complex;Psychology game;Text-heavy gameplay requiring Japanese knowledge.
351;Oekaki Logic 2;お絵かきロジック2;Oekaki Rojikku 2;placeholder_url;Super Nintendo;Puzzle;True;01-11-1999;Unknown;Sekaibunka Publishing;playable;simple;Picture puzzle;Visual-based puzzle mechanics with minimal text.
352;The Ignition Factor;ファイヤーファイティング;Faiyā Faitingu;placeholder_url;Super Nintendo;Action;False;01-11-1994;Jaleco;Jaleco;caution;simple;Action strategy;Some menu navigation but mostly visual gameplay.
353;Dark Half;ダークハーフ;Dāku Hāfu;placeholder_url;Super Nintendo;RPG;True;31-05-1996;West One;Enix;not-recommended;complex;Horror RPG;Story-heavy game requiring Japanese knowledge.
354;Fishing Koushien;フィッシング甲子園;Fisshingu Kōshien;placeholder_url;Super Nintendo;Sports;True;31-05-1996;A-Wave;King Records;caution;simple;Fishing game;Menu navigation in Japanese but gameplay is visual.
355;Sound Novel Tsukuuru;サウンドノベルツクール;Saundo Noberu Tsukūru;placeholder_url;Super Nintendo;Creation Tool;True;31-05-1996;Success;ASCII Entertainment;not-recommended;complex;Novel creator;Creation tool requiring Japanese knowledge.
356;Supapoon DX;スパプーンDX;Supapūn DX;placeholder_url;Super Nintendo;Puzzle;True;31-05-1996;Now Production;Yutaka;playable;simple;Puzzle game;Visual-based puzzle mechanics with minimal text.
357;Parlor! Mini 6;パーラー!ミニ6;Pārā! Mini 6;placeholder_url;Super Nintendo;Simulation;True;30-05-1997;Unknown;Nippon Telenet;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
358;Magic Sword;マジックソード;Majikku Sōdo;placeholder_url;Super Nintendo;Action;False;29-05-1992;Minakuchi Engineering;Capcom;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
359;Zan II: Spirits;ザンII スピリッツ;Zan II: Supirittsu;placeholder_url;Super Nintendo;Action;True;29-05-1992;Wolf Team;Telenet Japan;playable;simple;Action game;Combat-focused gameplay with minimal text needed.
360;Pachinko Monogatari;パチンコ物語;Pachinko Monogatari;placeholder_url;Super Nintendo;Simulation;True;28-05-1993;KAZe;KSS;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
361;SOS;セプテントリオン;Seputentorion;placeholder_url;Super Nintendo;Adventure;False;28-05-1993;Human Entertainment;Vic Tokai;caution;complex;Survival adventure;English release available but complex systems.
362;Gdleen;グドリーン;Gudorīn;placeholder_url;Super Nintendo;Action;True;28-05-1991;Jorudan;SETA;playable;simple;Action game;Visual-based gameplay with minimal text needed.
363;Alien 3;エイリアン3;Eirian 3;placeholder_url;Super Nintendo;Action;False;27-05-1994;Probe Entertainment;Acclaim Entertainment;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
364;Crayon Shin-chan 2;クレヨンしんちゃん2 大魔王の逆襲;Kureyon Shin-chan 2: Daimaō no Gyakushū;placeholder_url;Super Nintendo;Action;True;27-05-1994;Sun L;Bandai;caution;simple;Platform action;Some menu navigation in Japanese but mostly visual gameplay.
365;Fighter's History;ファイターズヒストリー;Faitāzu Hisutorī;placeholder_url;Super Nintendo;Fighting;False;27-05-1994;Data East;Data East;playable;simple;Fighting game;Combat-focused with minimal text needed.
366;Kachiuma Yosou Soft;勝馬予想ソフト;Kachiuma Yosō Sofuto;placeholder_url;Super Nintendo;Simulation;True;27-05-1994;Unknown;KSS;not-recommended;complex;Horse racing simulation;Complex betting system requiring Japanese knowledge.
367;Kunio no Oden;くにおのおでん;Kunio no Oden;placeholder_url;Super Nintendo;Action;True;27-05-1994;Unknown;Technōs Japan;caution;simple;Action game;Some menu navigation in Japanese but mostly visual gameplay.
368;SD Gundam GX;SDガンダムGX;SD Gandamu GX;placeholder_url;Super Nintendo;Action;True;27-05-1994;BEC;Bandai;playable;simple;Mecha action;Combat-focused gameplay with minimal text needed.
369;Shutokou Battle '94;首都高バトル'94;Shutōkō Batoru '94;placeholder_url;Super Nintendo;Racing;True;27-05-1994;Genki;Bullet-Proof Software;playable;simple;Racing game;Racing gameplay with minimal text requirements.
370;Computer Nouryoku Kaiseki;コンピュータ能力解析;Konpyūta Nōryoku Kaiseki;placeholder_url;Super Nintendo;Simulation;True;26-05-1995;Culture Brain;Culture Brain;not-recommended;complex;Analysis simulation;Complex systems requiring Japanese knowledge.
371;Ghoul Patrol;グールパトロール;Gūru Patorōru;placeholder_url;Super Nintendo;Action;False;26-05-1995;LucasArts;JVC Musical Industries;playable;simple;Action shooter;Action-focused gameplay with minimal text needed.
372;Hayazashi Nidan Morita Shogi 2;早指二段森田将棋2;Hayazashi Nidan Morita Shōgi 2;placeholder_url;Super Nintendo;Board Game;True;26-05-1995;Random House;SETA;not-recommended;complex;Shogi game;Complex board game requiring Japanese knowledge.
373;Nichibutsu Arcade Classics;日本物産アーケードクラシックス;Nichibutsu Ākeido Kurashikkusu;placeholder_url;Super Nintendo;Compilation;True;26-05-1995;Syscom;Nichibutsu;playable;simple;Arcade collection;Classic arcade games with minimal text needed.
374;Pachinko Renchan Tengoku;パチンコ連チャン天国;Pachinko Renchan Tengoku;placeholder_url;Super Nintendo;Simulation;True;26-05-1995;Jorudan;VAP;not-recommended;complex;Pachinko simulation;Complex gambling mechanics requiring Japanese knowledge.
375;SimCity 2000;シムシティ2000;Shimu Shiti 2000;placeholder_url;Super Nintendo;Simulation;False;26-05-1995;HAL Laboratory;Imagineer;caution;complex;City simulation;English release available but complex systems.
376;Spark World;スパークワールド;Supāku Wārudo;placeholder_url;Super Nintendo;Action;True;26-05-1995;Unknown;Den'Z;playable;simple;Action game;Visual-based gameplay with minimal text needed.
377;Stargate;スターゲート;Sutāgēto;placeholder_url;Super Nintendo;Action;False;26-05-1995;Tantalus Interactive;Acclaim Entertainment;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
378;Super Nazo Puyo;スーパーなぞぷよ;Sūpā Nazo Puyo;placeholder_url;Super Nintendo;Puzzle;True;26-05-1995;Compile;Banpresto;playable;simple;Puzzle game;Visual-based puzzle mechanics with minimal text.
379;Warlock;ウォーロック;Wōrokku;placeholder_url;Super Nintendo;Action;False;26-05-1995;Realtime Associates;Acclaim Entertainment;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
380;Gokinjo Boukentai;ご近所冒険隊;Gokinjo Bōkentai;placeholder_url;Super Nintendo;Action;True;24-05-1996;ITL;Pioneer LDC;caution;simple;Action adventure;Some menu navigation in Japanese but mostly visual gameplay.
381;Super Gussun Oyoyo 2;スーパーぐっすんおよよ2;Sūpā Gussun Oyoyo 2;placeholder_url;Super Nintendo;Puzzle;True;24-05-1996;Kan's;Banpresto;playable;simple;Puzzle game;Visual-based puzzle mechanics with minimal text.
